,pokemon_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
201,161,Sentret,Wiesor,ã‚ªã‚¿ãƒ (Otachi),2,Normal,Scout PokÃ©mon,1,Normal,,0.8,6,3,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,255,70,43,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
202,162,Furret,Wiesenior,ã‚ªã‚ªã‚¿ãƒ (Ootachi),2,Normal,Long Body PokÃ©mon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,90,70,145,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
203,163,Hoothoot,Hoothoot,ãƒ›ãƒ¼ãƒ›ãƒ¼ (Hoho),2,Normal,Owl PokÃ©mon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,255,70,52,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
204,164,Noctowl,Noctuh,ãƒ¨ãƒ«ãƒŽã‚ºã‚¯ (Yorunozuku),2,Normal,Owl PokÃ©mon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,90,70,158,Medium Fast,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
205,165,Ledyba,Ledyba,ãƒ¬ãƒ‡ã‚£ãƒ (Rediba),2,Normal,Five Star PokÃ©mon,2,Bug,Flying,1,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,255,70,53,Fast,1,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
206,166,Ledian,Ledian,ãƒ¬ãƒ‡ã‚£ã‚¢ãƒ³ (Redian),2,Normal,Five Star PokÃ©mon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,90,70,137,Fast,1,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
207,167,Spinarak,Webarak,ã‚¤ãƒˆãƒžãƒ« (Itomaru),2,Normal,String Spit PokÃ©mon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,255,70,50,Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
208,168,Ariados,Ariados,ã‚¢ãƒªã‚¢ãƒ‰ã‚¹ (Ariados),2,Normal,Long Leg PokÃ©mon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,90,70,140,Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
209,169,Crobat,Iksbat,ã‚¯ãƒ­ãƒãƒƒãƒˆ (Crobat),2,Normal,Bat PokÃ©mon,2,Poison,Flying,1.8,75,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90,70,241,Medium Fast,1,Flying,,50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
210,170,Chinchou,Lampi,ãƒãƒ§ãƒ³ãƒãƒ¼ (Chonchie),2,Normal,Angler PokÃ©mon,2,Water,Electric,0.5,12,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190,70,66,Slow,1,Water 2,,50,20,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
211,171,Lanturn,Lanturn,ãƒ©ãƒ³ã‚¿ãƒ¼ãƒ³ (Lantern),2,Normal,Light PokÃ©mon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75,70,161,Slow,1,Water 2,,50,20,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
212,172,Pichu,Pichu,ãƒ”ãƒãƒ¥ãƒ¼ (Pichu),2,Normal,Tiny Mouse PokÃ©mon,1,Electric,,0.3,2,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190,70,41,Medium Fast,1,Undiscovered,,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
213,173,Cleffa,Pii,ãƒ”ã‚£ (Py),2,Normal,Star Shape PokÃ©mon,1,Fairy,,0.3,3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150,140,44,Fast,1,Undiscovered,,25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
214,174,Igglybuff,Fluffeluff,ãƒ—ãƒ—ãƒªãƒ³ (Pupurin),2,Normal,Balloon PokÃ©mon,2,Normal,Fairy,0.3,1,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170,70,42,Fast,1,Undiscovered,,25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
215,175,Togepi,Togepi,ãƒˆã‚²ãƒ”ãƒ¼ (Togepy),2,Normal,Spike Ball PokÃ©mon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190,70,49,Fast,1,Undiscovered,,87.5,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
216,176,Togetic,Togetic,ãƒˆã‚²ãƒãƒƒã‚¯ (Togechick),2,Normal,Happiness PokÃ©mon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75,70,142,Fast,2,Fairy,Flying,87.5,10,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
217,177,Natu,Natu,ãƒã‚¤ãƒ†ã‚£ (Naty),2,Normal,Tiny Bird PokÃ©mon,2,Psychic,Flying,0.2,2,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190,70,64,Medium Fast,1,Flying,,50,20,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
218,178,Xatu,Xatu,ãƒã‚¤ãƒ†ã‚£ã‚ª (Natio),2,Normal,Mystic PokÃ©mon,2,Psychic,Flying,1.5,15,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75,70,165,Medium Fast,1,Flying,,50,20,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
219,179,Mareep,Voltilamm,ãƒ¡ãƒªãƒ¼ãƒ— (Merriep),2,Normal,Wool PokÃ©mon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,235,70,56,Medium Slow,2,Field,Monster,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
220,180,Flaaffy,Waaty,ãƒ¢ã‚³ã‚³ (Mokoko),2,Normal,Wool PokÃ©mon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,120,70,128,Medium Slow,2,Field,Monster,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
221,181,Ampharos,Ampharos,ãƒ‡ãƒ³ãƒªãƒ¥ã‚¦ (Denryu),2,Normal,Light PokÃ©mon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,45,70,230,Medium Slow,2,Field,Monster,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
222,181,Mega Ampharos,Ampharos,ãƒ‡ãƒ³ãƒªãƒ¥ã‚¦ (Denryu),2,Normal,Light PokÃ©mon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,45,70,275,Medium Slow,2,Field,Monster,50,20,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
223,182,Bellossom,Blubella,ã‚­ãƒ¬ã‚¤ãƒãƒŠ (Kireihana),2,Normal,Flower PokÃ©mon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45,70,221,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
224,183,Marill,Marill,ãƒžãƒªãƒ« (Maril),2,Normal,Aqua Mouse PokÃ©mon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190,70,88,Fast,2,Fairy,Water 1,50,10,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
225,184,Azumarill,Azumarill,ãƒžãƒªãƒ«ãƒª (Marilli),2,Normal,Aqua Rabbit PokÃ©mon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75,70,189,Fast,2,Fairy,Water 1,50,10,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
226,185,Sudowoodo,Mogelbaum,ã‚¦ã‚½ãƒƒã‚­ãƒ¼ (Usokkie),2,Normal,Imitation PokÃ©mon,1,Rock,,1.2,38,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65,70,144,Medium Fast,1,Mineral,,50,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
227,186,Politoed,Quaxo,ãƒ‹ãƒ§ãƒ­ãƒˆãƒŽ (Nyorotono),2,Normal,Frog PokÃ©mon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45,70,225,Medium Slow,1,Water 1,,50,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
228,187,Hoppip,Hoppspross,ãƒãƒãƒƒã‚³ (Hanecco),2,Normal,Cottonweed PokÃ©mon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255,70,50,Medium Slow,2,Fairy,Grass,50,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
229,188,Skiploom,Hubelupf,ãƒãƒãƒƒã‚³ (Popocco),2,Normal,Cottonweed PokÃ©mon,2,Grass,Flying,0.6,1,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120,70,119,Medium Slow,2,Fairy,Grass,50,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
230,189,Jumpluff,Papungha,ãƒ¯ã‚¿ãƒƒã‚³ (Watacco),2,Normal,Cottonweed PokÃ©mon,2,Grass,Flying,0.8,3,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45,70,207,Medium Slow,2,Fairy,Grass,50,20,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
231,190,Aipom,Griffel,ã‚¨ã‚¤ãƒ‘ãƒ  (Eipam),2,Normal,Long Tail PokÃ©mon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45,70,72,Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
232,191,Sunkern,Sonnkern,ãƒ’ãƒžãƒŠãƒƒãƒ„ (Himanuts),2,Normal,Seed PokÃ©mon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235,70,36,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
233,192,Sunflora,Sonnflora,ã‚­ãƒžãƒ¯ãƒª (Kimawari),2,Normal,Sun PokÃ©mon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120,70,149,Medium Slow,1,Grass,,50,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
234,193,Yanma,Yanma,ãƒ¤ãƒ³ãƒ¤ãƒ³ãƒž (Yanyanma),2,Normal,Clear Wing PokÃ©mon,2,Bug,Flying,1.2,38,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75,70,78,Medium Fast,1,Bug,,50,20,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
235,194,Wooper,Felino,ã‚¦ãƒ‘ãƒ¼ (Upah),2,Normal,Water Fish PokÃ©mon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255,70,42,Medium Fast,2,Field,Water 1,50,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
236,195,Quagsire,Morlord,ãƒŒã‚ªãƒ¼ (Nuoh),2,Normal,Water Fish PokÃ©mon,2,Water,Ground,1.4,75,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90,70,151,Medium Fast,2,Field,Water 1,50,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
237,196,Espeon,Psiana,ã‚¨ãƒ¼ãƒ•ã‚£ (Eifie),2,Normal,Sun PokÃ©mon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45,70,184,Medium Fast,1,Field,,87.5,35,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
238,197,Umbreon,Nachtara,ãƒ–ãƒ©ãƒƒã‚­ãƒ¼ (Blacky),2,Normal,Moonlight PokÃ©mon,1,Dark,,1,27,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45,35,184,Medium Fast,1,Field,,87.5,35,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
239,198,Murkrow,Kramurx,ãƒ¤ãƒŸã‚«ãƒ©ã‚¹ (Yamikarasu),2,Normal,Darkness PokÃ©mon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30,35,81,Medium Slow,1,Flying,,50,20,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
240,199,Slowking,Laschoking,ãƒ¤ãƒ‰ã‚­ãƒ³ã‚° (Yadoking),2,Normal,Royal PokÃ©mon,2,Water,Psychic,2,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70,70,172,Medium Fast,2,Monster,Water 1,50,20,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
241,200,Misdreavus,Traunfugil,ãƒ ã‚¦ãƒž (Muma),2,Normal,Screech PokÃ©mon,1,Ghost,,0.7,1,1,Levitate,,,435,60,60,60,85,85,85,45,35,87,Fast,1,Amorphous,,50,25,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1
242,201,Unown,Icognito,ã‚¢ãƒ³ãƒŽãƒ¼ãƒ³ (Unknown),2,Normal,Symbol PokÃ©mon,1,Psychic,,0.5,5,1,Levitate,,,336,48,72,48,72,48,48,225,70,118,Medium Fast,1,Undiscovered,,,40,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
243,202,Wobbuffet,Woingenau,ã‚½ãƒ¼ãƒŠãƒ³ã‚¹ (Sonans),2,Normal,Patient PokÃ©mon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45,70,142,Medium Fast,1,Amorphous,,50,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
244,203,Girafarig,Girafarig,ã‚­ãƒªãƒ³ãƒªã‚­ (Kirinriki),2,Normal,Long Neck PokÃ©mon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60,70,159,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
245,204,Pineco,Tannza,ã‚¯ãƒŒã‚®ãƒ€ãƒž (Kunugidama),2,Normal,Bagworm PokÃ©mon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190,70,58,Medium Fast,1,Bug,,50,20,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
246,205,Forretress,Forstellka,ãƒ•ã‚©ãƒ¬ãƒˆã‚¹ (Foretos),2,Normal,Bagworm PokÃ©mon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75,70,163,Medium Fast,1,Bug,,50,20,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
247,206,Dunsparce,Dummisel,ãƒŽã‚³ãƒƒãƒ (Nokocchi),2,Normal,Land Snake PokÃ©mon,1,Normal,,1.5,14,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190,70,145,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
248,207,Gligar,Skorgla,ã‚°ãƒ©ã‚¤ã‚¬ãƒ¼ (Gliger),2,Normal,FlyScorpion PokÃ©mon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60,70,86,Medium Slow,1,Bug,,50,20,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
249,208,Steelix,Stahlos,ãƒã‚¬ãƒãƒ¼ãƒ« (Haganeil),2,Normal,Iron Snake PokÃ©mon,2,Steel,Ground,9.2,400,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25,70,179,Medium Fast,1,Mineral,,50,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
250,208,Mega Steelix,Stahlos,ãƒã‚¬ãƒãƒ¼ãƒ« (Haganeil),2,Normal,Iron Snake PokÃ©mon,2,Steel,Ground,10.5,740,1,Sand Force,,,610,75,125,230,55,95,30,25,70,214,Medium Fast,1,Mineral,,50,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
251,209,Snubbull,Snubbull,ãƒ–ãƒ«ãƒ¼ (Bulu),2,Normal,Fairy PokÃ©mon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190,70,60,Fast,2,Fairy,Field,25,20,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
252,210,Granbull,Granbull,ã‚°ãƒ©ãƒ³ãƒ–ãƒ« (Granbulu),2,Normal,Fairy PokÃ©mon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75,70,158,Fast,2,Fairy,Field,25,20,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
253,211,Qwilfish,Baldorfish,ãƒãƒªãƒ¼ã‚»ãƒ³ (Harysen),2,Normal,Balloon PokÃ©mon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45,70,88,Medium Fast,1,Water 2,,50,20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
254,212,Scizor,Scherox,ãƒãƒƒã‚µãƒ  (Hassam),2,Normal,Pincer PokÃ©mon,2,Bug,Steel,1.8,118,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25,70,175,Medium Fast,1,Bug,,50,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
255,212,Mega Scizor,Scherox,ãƒãƒƒã‚µãƒ  (Hassam),2,Normal,Pincer PokÃ©mon,2,Bug,Steel,2,125,1,Technician,,,600,70,150,140,65,100,75,25,70,210,Medium Fast,1,Bug,,50,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
256,213,Shuckle,Pottrott,ãƒ„ãƒœãƒ„ãƒœ (Tsubotsubo),2,Normal,Mold PokÃ©mon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190,70,177,Medium Slow,1,Bug,,50,20,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
257,214,Heracross,Skaraborn,ãƒ˜ãƒ©ã‚¯ãƒ­ã‚¹ (Heracros),2,Normal,Single Horn PokÃ©mon,2,Bug,Fighting,1.5,54,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45,70,175,Slow,1,Bug,,50,25,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
258,214,Mega Heracross,Skaraborn,ãƒ˜ãƒ©ã‚¯ãƒ­ã‚¹ (Heracros),2,Normal,Single Horn PokÃ©mon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600,80,185,115,40,105,75,45,70,210,Slow,1,Bug,,50,25,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
259,215,Sneasel,Sniebel,ãƒ‹ãƒ¥ãƒ¼ãƒ© (Nyula),2,Normal,Sharp Claw PokÃ©mon,2,Dark,Ice,0.9,28,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60,35,86,Medium Slow,1,Field,,50,20,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
260,216,Teddiursa,Teddiursa,ãƒ’ãƒ¡ã‚°ãƒž (Himeguma),2,Normal,Little Bear PokÃ©mon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120,70,66,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
261,217,Ursaring,Ursaring,ãƒªãƒ³ã‚°ãƒž (Ringuma),2,Normal,Hibernator PokÃ©mon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60,70,175,Medium Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
262,218,Slugma,Schneckmag,ãƒžã‚°ãƒžãƒƒã‚° (Magmag),2,Normal,Lava PokÃ©mon,1,Fire,,0.7,35,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190,70,50,Medium Fast,1,Amorphous,,50,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
263,219,Magcargo,Magcargo,ãƒžã‚°ã‚«ãƒ«ã‚´ (Magcargot),2,Normal,Lava PokÃ©mon,2,Fire,Rock,0.8,55,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75,70,151,Medium Fast,1,Amorphous,,50,20,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
264,220,Swinub,Quiekel,ã‚¦ãƒªãƒ ãƒ¼ (Urimoo),2,Normal,Pig PokÃ©mon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,70,50,Slow,1,Field,,50,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
265,221,Piloswine,Keifel,ã‚¤ãƒŽãƒ ãƒ¼ (Inomoo),2,Normal,Swine PokÃ©mon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,70,158,Slow,1,Field,,50,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
266,222,Corsola,Corasonn,ã‚µãƒ‹ãƒ¼ã‚´ (Sunnygo),2,Normal,Coral PokÃ©mon,2,Water,Rock,0.6,5,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60,70,144,Fast,2,Water 1,Water 3,25,20,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
267,222,Galarian Corsola,Corasonn,ã‚µãƒ‹ãƒ¼ã‚´ (Sunnygo),2,Normal,Coral PokÃ©mon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,2,Water 1,Water 3,,20,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
268,223,Remoraid,Remoraid,ãƒ†ãƒƒãƒã‚¦ã‚ª (Teppouo),2,Normal,Jet PokÃ©mon,1,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,60,Medium Fast,2,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
269,224,Octillery,Octillery,ã‚ªã‚¯ã‚¿ãƒ³ (Okutank),2,Normal,Jet PokÃ©mon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,70,168,Medium Fast,2,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
270,225,Delibird,Botogel,ãƒ‡ãƒªãƒãƒ¼ãƒ‰ (Delibird),2,Normal,Delivery PokÃ©mon,2,Ice,Flying,0.9,16,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,70,116,Fast,2,Field,Water 1,50,20,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
271,226,Mantine,Mantax,ãƒžãƒ³ã‚¿ã‚¤ãƒ³ (Mantain),2,Normal,Kite PokÃ©mon,2,Water,Flying,2.1,220,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,70,170,Slow,1,Water 1,,50,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
272,227,Skarmory,Panzaeron,ã‚¨ã‚¢ãƒ¼ãƒ ãƒ‰ (Airmd),2,Normal,Armor Bird PokÃ©mon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,70,163,Slow,1,Flying,,50,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
273,228,Houndour,Hunduster,ãƒ‡ãƒ«ãƒ“ãƒ« (Delvil),2,Normal,Dark PokÃ©mon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,66,Slow,1,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
274,229,Houndoom,Hundemon,ãƒ˜ãƒ«ã‚¬ãƒ¼ (Hellgar),2,Normal,Dark PokÃ©mon,2,Dark,Fire,1.4,35,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,175,Slow,1,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
275,229,Mega Houndoom,Hundemon,ãƒ˜ãƒ«ã‚¬ãƒ¼ (Hellgar),2,Normal,Dark PokÃ©mon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45,35,210,Slow,1,Field,,50,20,1,0,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
